[Odometry @ factory.py:85][DEBUG] 2017-11-15 17:49:12,232: Logging to: logs/2017_Nov_15/Odometry/17_49_12.log
[Odometry @ node.py:89][INFO] 2017-11-15 17:49:18,435: setup
[Odometry @ node.py:79][DEBUG] 2017-11-15 17:49:21,597: [log buffer start]
[DEBUG, 1510786158.612327]: OdometryMessage(t=1510786158.6123252, n=0, xy=0.0, th=0.0, dt=0.1033778190612793)
[DEBUG, 1510786158.6452615]: OdometryMessage(t=1510786158.6452603, n=1, xy=0.0, th=0.0, dt=0.030543088912963867)
[DEBUG, 1510786158.678352]: OdometryMessage(t=1510786158.678351, n=2, xy=0.0, th=0.0, dt=0.030754566192626953)
[DEBUG, 1510786158.7004542]: OdometryMessage(t=1510786158.700453, n=3, xy=0.0, th=0.0, dt=0.030810117721557617)
[DEBUG, 1510786158.7115662]: OdometryMessage(t=1510786158.7115648, n=4, xy=0.0, th=0.0, dt=0.0)
[DEBUG, 1510786158.7334528]: OdometryMessage(t=1510786158.7334516, n=5, xy=0.0, th=0.0, dt=0.021292924880981445)
[DEBUG, 1510786158.7658942]: OdometryMessage(t=1510786158.765893, n=6, xy=0.0, th=0.0, dt=0.030725717544555664)
[DEBUG, 1510786158.7877572]: OdometryMessage(t=1510786158.7877562, n=7, xy=0.0, th=0.0, dt=0.02044844627380371)
[DEBUG, 1510786158.7989638]: OdometryMessage(t=1510786158.7989626, n=8, xy=0.0, th=0.0, dt=0.030645132064819336)
[DEBUG, 1510786158.8100872]: OdometryMessage(t=1510786158.810086, n=9, xy=0.0, th=0.0, dt=0.02043008804321289)
[DEBUG, 1510786158.8324478]: OdometryMessage(t=1510786158.8324466, n=10, xy=0.0, th=0.0, dt=0.030748844146728516)
[DEBUG, 1510786158.8606448]: OdometryMessage(t=1510786158.8606436, n=11, xy=0.0, th=0.0, dt=0.020673751831054688)
[DEBUG, 1510786158.8816936]: OdometryMessage(t=1510786158.8816924, n=12, xy=0.0, th=0.0, dt=0.021277427673339844)
[DEBUG, 1510786158.9024487]: OdometryMessage(t=1510786158.9024472, n=13, xy=0.0, th=0.0, dt=0.03108358383178711)
[DEBUG, 1510786158.9231973]: OdometryMessage(t=1510786158.9231958, n=14, xy=0.0, th=0.0, dt=0.020762920379638672)
[DEBUG, 1510786158.9446507]: OdometryMessage(t=1510786158.9446492, n=15, xy=0.0, th=0.0, dt=0.031012773513793945)
[DEBUG, 1510786158.9655747]: OdometryMessage(t=1510786158.965573, n=16, xy=0.0, th=0.0, dt=0.020732641220092773)
[DEBUG, 1510786158.986615]: OdometryMessage(t=1510786158.9866138, n=17, xy=0.0, th=0.0, dt=0.0206146240234375)
[DEBUG, 1510786159.0081415]: OdometryMessage(t=1510786159.0081403, n=18, xy=0.0, th=0.0, dt=0.030895709991455078)
[DEBUG, 1510786159.029126]: OdometryMessage(t=1510786159.0291245, n=19, xy=0.0, th=0.0, dt=0.02073049545288086)
[DEBUG, 1510786159.0501673]: OdometryMessage(t=1510786159.0501661, n=20, xy=0.0, th=0.0, dt=0.023604631423950195)
[DEBUG, 1510786159.0714781]: OdometryMessage(t=1510786159.0714767, n=21, xy=0.0, th=0.0, dt=0.031032800674438477)
[DEBUG, 1510786159.0923066]: OdometryMessage(t=1510786159.0923052, n=22, xy=0.0, th=0.0, dt=0.0206148624420166)
[DEBUG, 1510786159.0931907]: OdometryMessage(t=1510786159.0931897, n=23, xy=0.0, th=0.0, dt=0.022283077239990234)
[DEBUG, 1510786159.112978]: OdometryMessage(t=1510786159.1129768, n=24, xy=0.0, th=0.0, dt=0.030912160873413086)
[DEBUG, 1510786159.1341124]: OdometryMessage(t=1510786159.1341112, n=25, xy=-0.1891398311462995, th=0.0, dt=0.020932435989379883)
[DEBUG, 1510786159.1553695]: OdometryMessage(t=1510786159.1553683, n=26, xy=0.0, th=0.0, dt=0.020745038986206055)
[DEBUG, 1510786159.1765487]: OdometryMessage(t=1510786159.1765473, n=27, xy=0.0, th=0.0, dt=0.03116440773010254)
[DEBUG, 1510786159.1970832]: OdometryMessage(t=1510786159.1970818, n=28, xy=0.0, th=0.0, dt=0.03113389015197754)
[DEBUG, 1510786159.2182438]: OdometryMessage(t=1510786159.2182424, n=29, xy=0.0, th=0.0, dt=0.020714759826660156)
[DEBUG, 1510786159.2396882]: OdometryMessage(t=1510786159.239687, n=30, xy=-0.18913983114629973, th=0.0, dt=0.03092050552368164)
[DEBUG, 1510786159.260486]: OdometryMessage(t=1510786159.2604845, n=31, xy=0.0, th=0.0, dt=0.020879268646240234)
[DEBUG, 1510786159.2813208]: OdometryMessage(t=1510786159.2813194, n=32, xy=0.0, th=0.0, dt=0.030889511108398438)
[DEBUG, 1510786159.302417]: OdometryMessage(t=1510786159.3024154, n=33, xy=0.0, th=0.0, dt=0.03119492530822754)
[DEBUG, 1510786159.322945]: OdometryMessage(t=1510786159.3229437, n=34, xy=0.0, th=0.0, dt=0.020703792572021484)
[DEBUG, 1510786159.343646]: OdometryMessage(t=1510786159.3436444, n=35, xy=0.0, th=0.0, dt=0.02067422866821289)
[DEBUG, 1510786159.3650446]: OdometryMessage(t=1510786159.3650434, n=36, xy=0.0, th=0.0, dt=0.031011104583740234)
[DEBUG, 1510786159.3864198]: OdometryMessage(t=1510786159.3864186, n=37, xy=0.0, th=0.0, dt=0.020682096481323242)
[DEBUG, 1510786159.4286046]: OdometryMessage(t=1510786159.4286032, n=38, xy=0.0, th=0.0, dt=0.03094172477722168)
[DEBUG, 1510786159.4499462]: OdometryMessage(t=1510786159.4499447, n=39, xy=0.0, th=0.0, dt=0.020739078521728516)
[DEBUG, 1510786159.470954]: OdometryMessage(t=1510786159.4709525, n=40, xy=0.0, th=0.0, dt=0.03116464614868164)
[DEBUG, 1510786159.4927888]: OdometryMessage(t=1510786159.4927874, n=41, xy=0.0, th=0.0, dt=0.020861148834228516)
[DEBUG, 1510786159.5140824]: OdometryMessage(t=1510786159.5140812, n=42, xy=0.0, th=0.0, dt=0.02077460289001465)
[DEBUG, 1510786159.5553198]: OdometryMessage(t=1510786159.5553184, n=43, xy=0.0, th=0.0, dt=0.031172752380371094)
[DEBUG, 1510786159.5767872]: OdometryMessage(t=1510786159.5767858, n=44, xy=0.0, th=0.0, dt=0.02087092399597168)
[DEBUG, 1510786159.597814]: OdometryMessage(t=1510786159.5978127, n=45, xy=0.0, th=0.0, dt=0.03098297119140625)
[DEBUG, 1510786159.6188147]: OdometryMessage(t=1510786159.6188135, n=46, xy=0.0, th=0.0, dt=0.020732879638671875)
[DEBUG, 1510786159.6397283]: OdometryMessage(t=1510786159.6397264, n=47, xy=0.0, th=0.0, dt=0.020743608474731445)
[DEBUG, 1510786159.6611364]: OdometryMessage(t=1510786159.661135, n=48, xy=0.0, th=0.0, dt=0.030826807022094727)
[DEBUG, 1510786159.681773]: OdometryMessage(t=1510786159.6817715, n=49, xy=0.0, th=0.0, dt=0.020648479461669922)
[DEBUG, 1510786159.7026865]: OdometryMessage(t=1510786159.702685, n=50, xy=0.0, th=0.0, dt=0.02719902992248535)
[DEBUG, 1510786159.7240102]: OdometryMessage(t=1510786159.7240088, n=51, xy=0.0, th=0.0, dt=0.03097057342529297)
[DEBUG, 1510786159.744654]: OdometryMessage(t=1510786159.7446527, n=52, xy=0.0, th=0.0, dt=0.020685195922851562)
[DEBUG, 1510786159.765706]: OdometryMessage(t=1510786159.7657044, n=53, xy=0.0, th=0.0, dt=0.030909299850463867)
[DEBUG, 1510786159.7877584]: OdometryMessage(t=1510786159.7877572, n=54, xy=0.0, th=0.0, dt=0.02089667320251465)
[DEBUG, 1510786159.808681]: OdometryMessage(t=1510786159.8086793, n=55, xy=-0.18913983114629973, th=0.0, dt=0.020862579345703125)
[DEBUG, 1510786159.8297367]: OdometryMessage(t=1510786159.8297353, n=56, xy=0.0, th=0.0, dt=0.025870084762573242)
[DEBUG, 1510786159.851023]: OdometryMessage(t=1510786159.8510215, n=57, xy=0.0, th=0.0, dt=0.03122997283935547)
[DEBUG, 1510786159.8718884]: OdometryMessage(t=1510786159.8718867, n=58, xy=0.0, th=0.0, dt=0.02085423469543457)
[DEBUG, 1510786159.892956]: OdometryMessage(t=1510786159.8929546, n=59, xy=0.0, th=0.0, dt=0.03108978271484375)
[DEBUG, 1510786159.9139614]: OdometryMessage(t=1510786159.91396, n=60, xy=0.0, th=0.0, dt=0.02103900909423828)
[DEBUG, 1510786159.9353366]: OdometryMessage(t=1510786159.9353352, n=61, xy=0.0, th=0.0, dt=0.03895092010498047)
[DEBUG, 1510786159.9559398]: OdometryMessage(t=1510786159.9559383, n=62, xy=0.0, th=0.0, dt=0.031211376190185547)
[DEBUG, 1510786159.9764702]: OdometryMessage(t=1510786159.9764683, n=63, xy=0.0, th=0.0, dt=0.020762920379638672)
[DEBUG, 1510786159.9978075]: OdometryMessage(t=1510786159.997806, n=64, xy=0.0, th=0.0, dt=0.020639896392822266)
[DEBUG, 1510786160.0185652]: OdometryMessage(t=1510786160.018564, n=65, xy=0.0, th=0.0, dt=0.030898571014404297)
