[QuadEncoder @ factory.py:85][DEBUG] 2017-11-15 17:48:33,319: Logging to: logs/2017_Nov_15/QuadEncoder/17_48_33.log
[QuadEncoder @ arduino.py:88][INFO] 2017-11-15 17:48:38,273: configuring done. Finding whoiam=Quadrature-Encoder
[QuadEncoder @ arduino.py:55][INFO] 2017-11-15 17:48:38,273: Quadrature-Encoder's setup complete
[QuadEncoder @ arduino.py:159][INFO] 2017-11-15 17:48:39,560: Device has started!
[QuadEncoder @ arduino.py:160][INFO] 2017-11-15 17:48:39,563: init packet: 
[QuadEncoder @ quad_encoder.py:86][INFO] 2017-11-15 17:48:39,769: start tick value: 0
[QuadEncoder @ arduino.py:188][INFO] 2017-11-15 17:48:42,566: found 113 packets in 3s (avg=37.7 packets/sec). 113 received in total (avg=37.6 packets/sec)
[QuadEncoder @ node.py:79][DEBUG] 2017-11-15 17:48:42,846: [log buffer start]
[DEBUG, 1510786119.7675211]: EncoderMessage(t=1510786119.7675211, n=0, pt=1510786119.7675211, tick=0, dist=0.0, ptick=0, pdist=0.0)
[DEBUG, 1510786119.7888505]: EncoderMessage(t=1510786119.7888505, n=1, pt=1510786119.7675211, tick=0, dist=0.0, ptick=0, pdist=0.0)
[DEBUG, 1510786119.8094268]: EncoderMessage(t=1510786119.8094268, n=2, pt=1510786119.7888505, tick=0, dist=0.0, ptick=0, pdist=0.0)
[DEBUG, 1510786119.8400273]: EncoderMessage(t=1510786119.8400273, n=3, pt=1510786119.8094268, tick=0, dist=0.0, ptick=0, pdist=0.0)
[DEBUG, 1510786119.860471]: EncoderMessage(t=1510786119.860471, n=4, pt=1510786119.8400273, tick=0, dist=0.0, ptick=0, pdist=0.0)
[DEBUG, 1510786119.8912158]: EncoderMessage(t=1510786119.8912158, n=5, pt=1510786119.860471, tick=0, dist=0.0, ptick=0, pdist=0.0)
[DEBUG, 1510786119.9118767]: EncoderMessage(t=1510786119.9118767, n=6, pt=1510786119.8912158, tick=0, dist=0.0, ptick=0, pdist=0.0)
[DEBUG, 1510786119.942915]: EncoderMessage(t=1510786119.942915, n=7, pt=1510786119.9118767, tick=0, dist=0.0, ptick=0, pdist=0.0)
[DEBUG, 1510786119.9635208]: EncoderMessage(t=1510786119.9635208, n=8, pt=1510786119.942915, tick=0, dist=0.0, ptick=0, pdist=0.0)
[DEBUG, 1510786119.994378]: EncoderMessage(t=1510786119.994378, n=9, pt=1510786119.9635208, tick=0, dist=0.0, ptick=0, pdist=0.0)
[DEBUG, 1510786120.0150788]: EncoderMessage(t=1510786120.0150788, n=10, pt=1510786119.994378, tick=0, dist=0.0, ptick=0, pdist=0.0)
[DEBUG, 1510786120.0356658]: EncoderMessage(t=1510786120.0356658, n=11, pt=1510786120.0150788, tick=0, dist=0.0, ptick=0, pdist=0.0)
[DEBUG, 1510786120.0666194]: EncoderMessage(t=1510786120.0666194, n=12, pt=1510786120.0356658, tick=0, dist=0.0, ptick=0, pdist=0.0)
[DEBUG, 1510786120.087512]: EncoderMessage(t=1510786120.087512, n=13, pt=1510786120.0666194, tick=0, dist=0.0, ptick=0, pdist=0.0)
[DEBUG, 1510786120.1236908]: EncoderMessage(t=1510786120.1236908, n=14, pt=1510786120.087512, tick=0, dist=0.0, ptick=0, pdist=0.0)
[DEBUG, 1510786120.1447103]: EncoderMessage(t=1510786120.1447103, n=15, pt=1510786120.1236908, tick=0, dist=0.0, ptick=0, pdist=0.0)
[DEBUG, 1510786120.1654036]: EncoderMessage(t=1510786120.1654036, n=16, pt=1510786120.1447103, tick=0, dist=0.0, ptick=0, pdist=0.0)
[DEBUG, 1510786120.1860826]: EncoderMessage(t=1510786120.1860826, n=17, pt=1510786120.1654036, tick=0, dist=0.0, ptick=0, pdist=0.0)
[DEBUG, 1510786120.2170794]: EncoderMessage(t=1510786120.2170794, n=18, pt=1510786120.1860826, tick=0, dist=0.0, ptick=0, pdist=0.0)
[DEBUG, 1510786120.2378778]: EncoderMessage(t=1510786120.2378778, n=19, pt=1510786120.2170794, tick=0, dist=0.0, ptick=0, pdist=0.0)
[DEBUG, 1510786120.2700284]: EncoderMessage(t=1510786120.2700284, n=20, pt=1510786120.2378778, tick=0, dist=0.0, ptick=0, pdist=0.0)
[DEBUG, 1510786120.2909296]: EncoderMessage(t=1510786120.2909296, n=21, pt=1510786120.2700284, tick=0, dist=0.0, ptick=0, pdist=0.0)
[DEBUG, 1510786120.311753]: EncoderMessage(t=1510786120.311753, n=22, pt=1510786120.2909296, tick=0, dist=0.0, ptick=0, pdist=0.0)
[DEBUG, 1510786120.342809]: EncoderMessage(t=1510786120.342809, n=23, pt=1510786120.311753, tick=0, dist=0.0, ptick=0, pdist=0.0)
[DEBUG, 1510786120.363721]: EncoderMessage(t=1510786120.363721, n=24, pt=1510786120.342809, tick=0, dist=0.0, ptick=0, pdist=0.0)
[DEBUG, 1510786120.3948107]: EncoderMessage(t=1510786120.3948107, n=25, pt=1510786120.363721, tick=0, dist=0.0, ptick=0, pdist=0.0)
[DEBUG, 1510786120.415511]: EncoderMessage(t=1510786120.415511, n=26, pt=1510786120.3948107, tick=0, dist=0.0, ptick=0, pdist=0.0)
[DEBUG, 1510786120.436253]: EncoderMessage(t=1510786120.436253, n=27, pt=1510786120.415511, tick=0, dist=0.0, ptick=0, pdist=0.0)
[DEBUG, 1510786120.4670763]: EncoderMessage(t=1510786120.4670763, n=28, pt=1510786120.436253, tick=0, dist=0.0, ptick=0, pdist=0.0)
[DEBUG, 1510786120.4878066]: EncoderMessage(t=1510786120.4878066, n=29, pt=1510786120.4670763, tick=0, dist=0.0, ptick=0, pdist=0.0)
[DEBUG, 1510786120.518688]: EncoderMessage(t=1510786120.518688, n=30, pt=1510786120.4878066, tick=0, dist=0.0, ptick=0, pdist=0.0)
[DEBUG, 1510786120.539373]: EncoderMessage(t=1510786120.539373, n=31, pt=1510786120.518688, tick=0, dist=0.0, ptick=0, pdist=0.0)
[DEBUG, 1510786120.570513]: EncoderMessage(t=1510786120.570513, n=32, pt=1510786120.539373, tick=0, dist=0.0, ptick=0, pdist=0.0)
[DEBUG, 1510786120.5911598]: EncoderMessage(t=1510786120.5911598, n=33, pt=1510786120.570513, tick=0, dist=0.0, ptick=0, pdist=0.0)
[DEBUG, 1510786120.6118493]: EncoderMessage(t=1510786120.6118493, n=34, pt=1510786120.5911598, tick=0, dist=0.0, ptick=0, pdist=0.0)
[DEBUG, 1510786120.642826]: EncoderMessage(t=1510786120.642826, n=35, pt=1510786120.6118493, tick=0, dist=0.0, ptick=0, pdist=0.0)
[DEBUG, 1510786120.6634693]: EncoderMessage(t=1510786120.6634693, n=36, pt=1510786120.642826, tick=0, dist=0.0, ptick=0, pdist=0.0)
