[OpenCVCamera @ factory.py:85][DEBUG] 2017-10-27 19:45:02,317: Logging to: logs/2017_Oct_27/OpenCVCamera/19_45_02.log
[OpenCVCamera @ camera.py:123][INFO] 2017-10-27 19:45:08,621: Loading capture '1'
[OpenCVCamera @ node.py:71][INFO] 2017-10-27 19:45:09,475: received 1 messages in 3 seconds. 1 received in total (avg=0.1 messages/sec)
[OpenCVCamera @ node.py:71][INFO] 2017-10-27 19:45:12,504: received 90 messages in 3 seconds. 91 received in total (avg=8.9 messages/sec)
[OpenCVCamera @ node.py:71][INFO] 2017-10-27 19:45:15,531: received 91 messages in 3 seconds. 182 received in total (avg=13.8 messages/sec)
[OpenCVCamera @ node.py:79][DEBUG] 2017-10-27 19:45:17,261: [log buffer start]
[DEBUG, 1509147909.4749322]: ImageMessage(t=1509147909.4749203, n=0)
[DEBUG, 1509147909.5026731]: ImageMessage(t=1509147909.5026634, n=1)
[DEBUG, 1509147909.5415733]: ImageMessage(t=1509147909.5415635, n=2)
[DEBUG, 1509147909.5735853]: ImageMessage(t=1509147909.5735748, n=3)
[DEBUG, 1509147909.6076891]: ImageMessage(t=1509147909.6076837, n=4)
[DEBUG, 1509147909.637647]: ImageMessage(t=1509147909.6376402, n=5)
[DEBUG, 1509147909.6698577]: ImageMessage(t=1509147909.669849, n=6)
[DEBUG, 1509147909.705723]: ImageMessage(t=1509147909.7057137, n=7)
[DEBUG, 1509147909.7378757]: ImageMessage(t=1509147909.737866, n=8)
[DEBUG, 1509147909.7723212]: ImageMessage(t=1509147909.7723103, n=9)
[DEBUG, 1509147909.8098269]: ImageMessage(t=1509147909.809817, n=10)
[DEBUG, 1509147909.8418603]: ImageMessage(t=1509147909.8418493, n=11)
[DEBUG, 1509147909.8698845]: ImageMessage(t=1509147909.869878, n=12)
[DEBUG, 1509147909.905265]: ImageMessage(t=1509147909.905254, n=13)
[DEBUG, 1509147909.941363]: ImageMessage(t=1509147909.9413521, n=14)
[DEBUG, 1509147909.973699]: ImageMessage(t=1509147909.9736876, n=15)
[DEBUG, 1509147910.0034902]: ImageMessage(t=1509147910.003485, n=16)
[DEBUG, 1509147910.0419564]: ImageMessage(t=1509147910.0419464, n=17)
[DEBUG, 1509147910.074016]: ImageMessage(t=1509147910.074005, n=18)
[DEBUG, 1509147910.1099765]: ImageMessage(t=1509147910.109967, n=19)
[DEBUG, 1509147910.1422055]: ImageMessage(t=1509147910.1421936, n=20)
[DEBUG, 1509147910.174087]: ImageMessage(t=1509147910.1740775, n=21)
[DEBUG, 1509147910.2099583]: ImageMessage(t=1509147910.2099485, n=22)
[DEBUG, 1509147910.237194]: ImageMessage(t=1509147910.2371888, n=23)
[DEBUG, 1509147910.2741196]: ImageMessage(t=1509147910.2741098, n=24)
[DEBUG, 1509147910.3102298]: ImageMessage(t=1509147910.3102193, n=25)
