[AdafruitGPS @ factory.py:85][DEBUG] 2017-10-28 07:11:32,942: Logging to: logs/2017_Oct_28/AdafruitGPS/07_11_32.log
[AdafruitGPS @ arduino.py:86][INFO] 2017-10-28 07:11:37,751: configuring done. Finding whoiam=Adafruit-GPS
[AdafruitGPS @ arduino.py:147][INFO] 2017-10-28 07:11:38,514: Device named 'Adafruit-GPS' at '/dev/ttyUSB1' is now at baud rate '9600'
[AdafruitGPS @ arduino.py:157][INFO] 2017-10-28 07:11:38,516: Device has started!
[AdafruitGPS @ arduino.py:158][INFO] 2017-10-28 07:11:38,517: init packet: 5	9600
[AdafruitGPS @ adafruit_gps.py:142][WARNING] 2017-10-28 07:11:40,262: Invalid message 'AdafruitGPSMessage(fix: False, quality: 0, satellites: 0; time: 0:0.0 0/0/200; timestamp: 1509189098.8148234'
month must be in 1..12
[AdafruitGPS @ adafruit_gps.py:142][WARNING] 2017-10-28 07:11:40,392: Invalid message 'AdafruitGPSMessage(fix: False, quality: 0, satellites: 0; time: 0:0.0 0/0/200; timestamp: 1509189099.0153534'
month must be in 1..12
[AdafruitGPS @ adafruit_gps.py:142][WARNING] 2017-10-28 07:11:40,504: Invalid message 'AdafruitGPSMessage(fix: False, quality: 0, satellites: 0; time: 0:0.0 0/0/200; timestamp: 1509189099.2177923'
month must be in 1..12
[AdafruitGPS @ adafruit_gps.py:142][WARNING] 2017-10-28 07:11:40,621: Invalid message 'AdafruitGPSMessage(fix: False, quality: 0, satellites: 0; time: 0:0.0 0/0/200; timestamp: 1509189099.4088242'
month must be in 1..12
[AdafruitGPS @ adafruit_gps.py:142][WARNING] 2017-10-28 07:11:40,692: Invalid message 'AdafruitGPSMessage(fix: False, quality: 0, satellites: 0; time: 11:11.39 0/0/200; timestamp: 1509189099.620502'
month must be in 1..12
[AdafruitGPS @ arduino.py:186][INFO] 2017-10-28 07:11:41,744: found 15 packets in 3s (avg=5.0 packets/sec). 15 received in total (avg=4.6 packets/sec)
[AdafruitGPS @ arduino.py:186][INFO] 2017-10-28 07:11:44,752: found 15 packets in 3s (avg=5.0 packets/sec). 30 received in total (avg=4.8 packets/sec)
[AdafruitGPS @ arduino.py:186][INFO] 2017-10-28 07:11:47,761: found 15 packets in 3s (avg=5.0 packets/sec). 45 received in total (avg=4.9 packets/sec)
[AdafruitGPS @ arduino.py:186][INFO] 2017-10-28 07:11:50,770: found 15 packets in 3s (avg=5.0 packets/sec). 60 received in total (avg=4.9 packets/sec)
[AdafruitGPS @ node.py:79][DEBUG] 2017-10-28 07:11:52,431: [log buffer start]
[DEBUG, 1509189098.8148234]: AdafruitGPSMessage(fix: False, quality: 0, satellites: 0; time: 0:0.0 0/0/200; timestamp: 1509189098.8148234
[DEBUG, 1509189099.0153534]: AdafruitGPSMessage(fix: False, quality: 0, satellites: 0; time: 0:0.0 0/0/200; timestamp: 1509189099.0153534
[DEBUG, 1509189099.2177923]: AdafruitGPSMessage(fix: False, quality: 0, satellites: 0; time: 0:0.0 0/0/200; timestamp: 1509189099.2177923
[DEBUG, 1509189099.4088242]: AdafruitGPSMessage(fix: False, quality: 0, satellites: 0; time: 0:0.0 0/0/200; timestamp: 1509189099.4088242
[DEBUG, 1509189099.620502]: AdafruitGPSMessage(fix: False, quality: 0, satellites: 0; time: 11:11.39 0/0/200; timestamp: 1509189099.620502
[DEBUG, 1509189099.821378]: AdafruitGPSMessage(fix: False, quality: 0, satellites: 0; time: 11:11.39 28/10/2017; timestamp: 1509203499.148
[DEBUG, 1509189100.021727]: AdafruitGPSMessage(fix: False, quality: 0, satellites: 0; time: 11:11.39 28/10/2017; timestamp: 1509203499.148
[DEBUG, 1509189100.2218907]: AdafruitGPSMessage(fix: False, quality: 0, satellites: 0; time: 11:11.39 28/10/2017; timestamp: 1509203499.148
[DEBUG, 1509189100.4291034]: AdafruitGPSMessage(fix: False, quality: 0, satellites: 0; time: 11:11.39 28/10/2017; timestamp: 1509203499.148
[DEBUG, 1509189100.6365254]: AdafruitGPSMessage(fix: False, quality: 1, satellites: 0; time: 11:11.40 28/10/2017; timestamp: 1509203500.14
[DEBUG, 1509189100.9081776]: AdafruitGPSMessage(lla: (4026.426025N, 7956.539550W, 293.200000); lla degrees: (40.440433, -79.942329); speed: 1.720000, bearing: 341.400000; fix: True, quality: 1, satellites: 5; time: 11:11.40 28/10/2017; timestamp: 1509203500.14
[DEBUG, 1509189101.116695]: AdafruitGPSMessage(lla: (4026.426025N, 7956.539550W, 293.200000); lla degrees: (40.440433, -79.942329); speed: 1.720000, bearing: 341.400000; fix: True, quality: 1, satellites: 5; time: 11:11.40 28/10/2017; timestamp: 1509203500.14
[DEBUG, 1509189101.3154864]: AdafruitGPSMessage(lla: (4026.426025N, 7956.539550W, 293.200000); lla degrees: (40.440433, -79.942329); speed: 1.720000, bearing: 341.400000; fix: True, quality: 1, satellites: 5; time: 11:11.40 28/10/2017; timestamp: 1509203500.14
[DEBUG, 1509189101.5137584]: AdafruitGPSMessage(lla: (4026.426025N, 7956.539550W, 293.200000); lla degrees: (40.440433, -79.942329); speed: 1.720000, bearing: 341.400000; fix: True, quality: 1, satellites: 5; time: 11:11.40 28/10/2017; timestamp: 1509203500.14
[DEBUG, 1509189101.7440238]: AdafruitGPSMessage(lla: (4026.427001N, 7956.541015W, 293.200000); lla degrees: (40.440448, -79.942352); speed: 1.720000, bearing: 341.400000; fix: True, quality: 1, satellites: 5; time: 11:11.41 28/10/2017; timestamp: 1509203501.14
[DEBUG, 1509189101.9441679]: AdafruitGPSMessage(lla: (4026.427001N, 7956.541015W, 293.200000); lla degrees: (40.440448, -79.942352); speed: 1.720000, bearing: 341.400000; fix: True, quality: 1, satellites: 5; time: 11:11.41 28/10/2017; timestamp: 1509203501.14
[DEBUG, 1509189102.1121252]: AdafruitGPSMessage(lla: (4026.427001N, 7956.541015W, 293.200000); lla degrees: (40.440448, -79.942352); speed: 1.720000, bearing: 341.400000; fix: True, quality: 1, satellites: 5; time: 11:11.41 28/10/2017; timestamp: 1509203501.14
[DEBUG, 1509189102.3210862]: AdafruitGPSMessage(lla: (4026.427001N, 7956.541015W, 293.200000); lla degrees: (40.440448, -79.942352); speed: 1.720000, bearing: 341.400000; fix: True, quality: 1, satellites: 5; time: 11:11.41 28/10/2017; timestamp: 1509203501.14
[DEBUG, 1509189102.5178783]: AdafruitGPSMessage(lla: (4026.427001N, 7956.541015W, 293.200000); lla degrees: (40.440448, -79.942352); speed: 1.720000, bearing: 341.400000; fix: True, quality: 1, satellites: 5; time: 11:11.41 28/10/2017; timestamp: 1509203501.14
[DEBUG, 1509189102.7491615]: AdafruitGPSMessage(lla: (4026.426757N, 7956.541015W, 293.100000); lla degrees: (40.440444, -79.942352); speed: 1.720000, bearing: 341.400000; fix: True, quality: 1, satellites: 5; time: 11:11.42 28/10/2017; timestamp: 1509203502.14
[DEBUG, 1509189102.9176807]: AdafruitGPSMessage(lla: (4026.426757N, 7956.541015W, 293.100000); lla degrees: (40.440444, -79.942352); speed: 1.720000, bearing: 341.400000; fix: True, quality: 1, satellites: 5; time: 11:11.42 28/10/2017; timestamp: 1509203502.14
[DEBUG, 1509189103.1170335]: AdafruitGPSMessage(lla: (4026.426757N, 7956.541015W, 293.100000); lla degrees: (40.440444, -79.942352); speed: 1.720000, bearing: 341.400000; fix: True, quality: 1, satellites: 5; time: 11:11.42 28/10/2017; timestamp: 1509203502.14
[DEBUG, 1509189103.3160174]: AdafruitGPSMessage(lla: (4026.426757N, 7956.541015W, 293.100000); lla degrees: (40.440444, -79.942352); speed: 1.720000, bearing: 341.400000; fix: True, quality: 1, satellites: 5; time: 11:11.42 28/10/2017; timestamp: 1509203502.14
[DEBUG, 1509189103.5160956]: AdafruitGPSMessage(lla: (4026.426757N, 7956.541015W, 293.100000); lla degrees: (40.440444, -79.942352); speed: 1.720000, bearing: 341.400000; fix: True, quality: 1, satellites: 5; time: 11:11.42 28/10/2017; timestamp: 1509203502.14
[DEBUG, 1509189103.7462497]: AdafruitGPSMessage(lla: (4026.426513N, 7956.541015W, 293.100000); lla degrees: (40.440441, -79.942352); speed: 1.720000, bearing: 341.400000; fix: True, quality: 1, satellites: 5; time: 11:11.43 28/10/2017; timestamp: 1509203503.14
[DEBUG, 1509189103.9241557]: AdafruitGPSMessage(lla: (4026.426513N, 7956.541015W, 293.100000); lla degrees: (40.440441, -79.942352); speed: 1.720000, bearing: 341.400000; fix: True, quality: 1, satellites: 5; time: 11:11.43 28/10/2017; timestamp: 1509203503.14
[DEBUG, 1509189104.1229062]: AdafruitGPSMessage(lla: (4026.426513N, 7956.541015W, 293.100000); lla degrees: (40.440441, -79.942352); speed: 1.720000, bearing: 341.400000; fix: True, quality: 1, satellites: 5; time: 11:11.43 28/10/2017; timestamp: 1509203503.14
[DEBUG, 1509189104.3219347]: AdafruitGPSMessage(lla: (4026.426513N, 7956.541015W, 293.100000); lla degrees: (40.440441, -79.942352); speed: 1.720000, bearing: 341.400000; fix: True, quality: 1, satellites: 5; time: 11:11.43 28/10/2017; timestamp: 1509203503.14
[DEBUG, 1509189104.5211506]: AdafruitGPSMessage(lla: (4026.426513N, 7956.541015W, 293.100000); lla degrees: (40.440441, -79.942352); speed: 1.720000, bearing: 341.400000; fix: True, quality: 1, satellites: 5; time: 11:11.43 28/10/2017; timestamp: 1509203503.14
[DEBUG, 1509189104.7521648]: AdafruitGPSMessage(lla: (4026.426269N, 7956.541503W, 293.100000); lla degrees: (40.440437, -79.942359); speed: 1.720000, bearing: 341.400000; fix: True, quality: 1, satellites: 5; time: 11:11.44 28/10/2017; timestamp: 1509203504.14
[DEBUG, 1509189104.9214287]: AdafruitGPSMessage(lla: (4026.426269N, 7956.541503W, 293.100000); lla degrees: (40.440437, -79.942359); speed: 1.720000, bearing: 341.400000; fix: True, quality: 1, satellites: 5; time: 11:11.44 28/10/2017; timestamp: 1509203504.14
[DEBUG, 1509189105.125496]: AdafruitGPSMessage(lla: (4026.426269N, 7956.541503W, 293.100000); lla degrees: (40.440437, -79.942359); speed: 1.720000, bearing: 341.400000; fix: True, quality: 1, satellites: 5; time: 11:11.44 28/10/2017; timestamp: 1509203504.14
[DEBUG, 1509189105.3249798]: AdafruitGPSMessage(lla: (4026.426269N, 7956.541503W, 293.100000); lla degrees: (40.440437, -79.942359); speed: 1.720000, bearing: 341.400000; fix: True, quality: 1, satellites: 5; time: 11:11.44 28/10/2017; timestamp: 1509203504.14
[DEBUG, 1509189105.5241232]: AdafruitGPSMessage(lla: (4026.426269N, 7956.541503W, 293.100000); lla degrees: (40.440437, -79.942359); speed: 1.720000, bearing: 341.400000; fix: True, quality: 1, satellites: 5; time: 11:11.44 28/10/2017; timestamp: 1509203504.14
[DEBUG, 1509189105.7545154]: AdafruitGPSMessage(lla: (4026.426757N, 7956.541992W, 293.100000); lla degrees: (40.440444, -79.942367); speed: 1.720000, bearing: 341.400000; fix: True, quality: 1, satellites: 5; time: 11:11.45 28/10/2017; timestamp: 1509203505.14
[DEBUG, 1509189105.9328837]: AdafruitGPSMessage(lla: (4026.426757N, 7956.541992W, 293.100000); lla degrees: (40.440444, -79.942367); speed: 1.720000, bearing: 341.400000; fix: True, quality: 1, satellites: 5; time: 11:11.45 28/10/2017; timestamp: 1509203505.14
[DEBUG, 1509189106.1323605]: AdafruitGPSMessage(lla: (4026.426757N, 7956.541992W, 293.100000); lla degrees: (40.440444, -79.942367); speed: 1.720000, bearing: 341.400000; fix: True, quality: 1, satellites: 5; time: 11:11.45 28/10/2017; timestamp: 1509203505.14
[DEBUG, 1509189106.3312368]: AdafruitGPSMessage(lla: (4026.426757N, 7956.541992W, 293.100000); lla degrees: (40.440444, -79.942367); speed: 1.720000, bearing: 341.400000; fix: True, quality: 1, satellites: 5; time: 11:11.45 28/10/2017; timestamp: 1509203505.14
[DEBUG, 1509189106.5306995]: AdafruitGPSMessage(lla: (4026.426757N, 7956.541992W, 293.100000); lla degrees: (40.440444, -79.942367); speed: 1.720000, bearing: 341.400000; fix: True, quality: 1, satellites: 5; time: 11:11.45 28/10/2017; timestamp: 1509203505.14
[DEBUG, 1509189106.7540908]: AdafruitGPSMessage(lla: (4026.426757N, 7956.542480W, 293.100000); lla degrees: (40.440444, -79.942375); speed: 1.720000, bearing: 341.400000; fix: True, quality: 1, satellites: 6; time: 11:11.46 28/10/2017; timestamp: 1509203506.14
[DEBUG, 1509189106.9526188]: AdafruitGPSMessage(lla: (4026.426757N, 7956.542480W, 293.100000); lla degrees: (40.440444, -79.942375); speed: 1.720000, bearing: 341.400000; fix: True, quality: 1, satellites: 6; time: 11:11.46 28/10/2017; timestamp: 1509203506.14
[DEBUG, 1509189107.1310458]: AdafruitGPSMessage(lla: (4026.426757N, 7956.542480W, 293.100000); lla degrees: (40.440444, -79.942375); speed: 1.720000, bearing: 341.400000; fix: True, quality: 1, satellites: 6; time: 11:11.46 28/10/2017; timestamp: 1509203506.14
[DEBUG, 1509189107.3297899]: AdafruitGPSMessage(lla: (4026.426757N, 7956.542480W, 293.100000); lla degrees: (40.440444, -79.942375); speed: 1.720000, bearing: 341.400000; fix: True, quality: 1, satellites: 6; time: 11:11.46 28/10/2017; timestamp: 1509203506.14
[DEBUG, 1509189107.5408258]: AdafruitGPSMessage(lla: (4026.426757N, 7956.542480W, 293.100000); lla degrees: (40.440444, -79.942375); speed: 1.720000, bearing: 341.400000; fix: True, quality: 1, satellites: 6; time: 11:11.46 28/10/2017; timestamp: 1509203506.14
[DEBUG, 1509189107.7608473]: AdafruitGPSMessage(lla: (4026.427001N, 7956.542968W, 293.100000); lla degrees: (40.440448, -79.942382); speed: 1.720000, bearing: 341.400000; fix: True, quality: 1, satellites: 6; time: 11:11.47 28/10/2017; timestamp: 1509203507.14
[DEBUG, 1509189107.9398296]: AdafruitGPSMessage(lla: (4026.427001N, 7956.542968W, 293.100000); lla degrees: (40.440448, -79.942382); speed: 1.720000, bearing: 341.400000; fix: True, quality: 1, satellites: 6; time: 11:11.47 28/10/2017; timestamp: 1509203507.14
[DEBUG, 1509189108.1381605]: AdafruitGPSMessage(lla: (4026.427001N, 7956.542968W, 293.100000); lla degrees: (40.440448, -79.942382); speed: 1.720000, bearing: 341.400000; fix: True, quality: 1, satellites: 6; time: 11:11.47 28/10/2017; timestamp: 1509203507.14
[DEBUG, 1509189108.3373764]: AdafruitGPSMessage(lla: (4026.427001N, 7956.542968W, 293.100000); lla degrees: (40.440448, -79.942382); speed: 1.720000, bearing: 341.400000; fix: True, quality: 1, satellites: 6; time: 11:11.47 28/10/2017; timestamp: 1509203507.14
[DEBUG, 1509189108.5359688]: AdafruitGPSMessage(lla: (4026.427001N, 7956.542968W, 293.100000); lla degrees: (40.440448, -79.942382); speed: 1.720000, bearing: 341.400000; fix: True, quality: 1, satellites: 6; time: 11:11.47 28/10/2017; timestamp: 1509203507.14
[DEBUG, 1509189108.767484]: AdafruitGPSMessage(lla: (4026.427001N, 7956.542968W, 293.100000); lla degrees: (40.440448, -79.942382); speed: 1.720000, bearing: 341.400000; fix: True, quality: 1, satellites: 7; time: 11:11.48 28/10/2017; timestamp: 1509203508.14
[DEBUG, 1509189108.9449816]: AdafruitGPSMessage(lla: (4026.427001N, 7956.542968W, 293.100000); lla degrees: (40.440448, -79.942382); speed: 1.720000, bearing: 341.400000; fix: True, quality: 1, satellites: 7; time: 11:11.48 28/10/2017; timestamp: 1509203508.14
[DEBUG, 1509189109.144675]: AdafruitGPSMessage(lla: (4026.427001N, 7956.542968W, 293.100000); lla degrees: (40.440448, -79.942382); speed: 1.720000, bearing: 341.400000; fix: True, quality: 1, satellites: 7; time: 11:11.48 28/10/2017; timestamp: 1509203508.14
[DEBUG, 1509189109.3438747]: AdafruitGPSMessage(lla: (4026.427001N, 7956.542968W, 293.100000); lla degrees: (40.440448, -79.942382); speed: 1.720000, bearing: 341.400000; fix: True, quality: 1, satellites: 7; time: 11:11.48 28/10/2017; timestamp: 1509203508.14
[DEBUG, 1509189109.5436366]: AdafruitGPSMessage(lla: (4026.427001N, 7956.542968W, 293.100000); lla degrees: (40.440448, -79.942382); speed: 1.720000, bearing: 341.400000; fix: True, quality: 1, satellites: 7; time: 11:11.48 28/10/2017; timestamp: 1509203508.14
[DEBUG, 1509189109.7642424]: AdafruitGPSMessage(lla: (4026.426757N, 7956.542480W, 293.200000); lla degrees: (40.440444, -79.942375); speed: 1.720000, bearing: 341.400000; fix: True, quality: 1, satellites: 7; time: 11:11.49 28/10/2017; timestamp: 1509203509.14
[DEBUG, 1509189109.9422843]: AdafruitGPSMessage(lla: (4026.426757N, 7956.542480W, 293.200000); lla degrees: (40.440444, -79.942375); speed: 1.720000, bearing: 341.400000; fix: True, quality: 1, satellites: 7; time: 11:11.49 28/10/2017; timestamp: 1509203509.14
[DEBUG, 1509189110.14256]: AdafruitGPSMessage(lla: (4026.426757N, 7956.542480W, 293.200000); lla degrees: (40.440444, -79.942375); speed: 1.720000, bearing: 341.400000; fix: True, quality: 1, satellites: 7; time: 11:11.49 28/10/2017; timestamp: 1509203509.14
[DEBUG, 1509189110.3518329]: AdafruitGPSMessage(lla: (4026.426757N, 7956.542480W, 293.200000); lla degrees: (40.440444, -79.942375); speed: 1.720000, bearing: 341.400000; fix: True, quality: 1, satellites: 7; time: 11:11.49 28/10/2017; timestamp: 1509203509.14
[DEBUG, 1509189110.5515049]: AdafruitGPSMessage(lla: (4026.426757N, 7956.542480W, 293.200000); lla degrees: (40.440444, -79.942375); speed: 1.720000, bearing: 341.400000; fix: True, quality: 1, satellites: 7; time: 11:11.49 28/10/2017; timestamp: 1509203509.14
[DEBUG, 1509189110.770683]: AdafruitGPSMessage(lla: (4026.428222N, 7956.541503W, 293.200000); lla degrees: (40.440471, -79.942359); speed: 1.720000, bearing: 341.400000; fix: True, quality: 1, satellites: 7; time: 11:11.50 28/10/2017; timestamp: 1509203510.148
[DEBUG, 1509189110.950714]: AdafruitGPSMessage(lla: (4026.428222N, 7956.541503W, 293.200000); lla degrees: (40.440471, -79.942359); speed: 1.720000, bearing: 341.400000; fix: True, quality: 1, satellites: 7; time: 11:11.50 28/10/2017; timestamp: 1509203510.148
[DEBUG, 1509189111.1490364]: AdafruitGPSMessage(lla: (4026.428222N, 7956.541503W, 293.200000); lla degrees: (40.440471, -79.942359); speed: 1.720000, bearing: 341.400000; fix: True, quality: 1, satellites: 7; time: 11:11.50 28/10/2017; timestamp: 1509203510.148
[DEBUG, 1509189111.3482568]: AdafruitGPSMessage(lla: (4026.428222N, 7956.541503W, 293.200000); lla degrees: (40.440471, -79.942359); speed: 1.720000, bearing: 341.400000; fix: True, quality: 1, satellites: 7; time: 11:11.50 28/10/2017; timestamp: 1509203510.148
[DEBUG, 1509189111.548133]: AdafruitGPSMessage(lla: (4026.428222N, 7956.541503W, 293.200000); lla degrees: (40.440471, -79.942359); speed: 1.720000, bearing: 341.400000; fix: True, quality: 1, satellites: 7; time: 11:11.50 28/10/2017; timestamp: 1509203510.148
[DEBUG, 1509189111.7573454]: AdafruitGPSMessage(lla: (4026.428222N, 7956.541503W, 293.200000); lla degrees: (40.440471, -79.942359); speed: 1.720000, bearing: 341.400000; fix: True, quality: 1, satellites: 7; time: 11:11.50 28/10/2017; timestamp: 1509203510.148
[DEBUG, 1509189111.9499695]: AdafruitGPSMessage(lla: (4026.428222N, 7956.541503W, 293.200000); lla degrees: (40.440471, -79.942359); speed: 1.720000, bearing: 341.400000; fix: True, quality: 1, satellites: 7; time: 11:11.50 28/10/2017; timestamp: 1509203510.148
[DEBUG, 1509189112.1504922]: AdafruitGPSMessage(lla: (4026.428222N, 7956.541503W, 293.200000); lla degrees: (40.440471, -79.942359); speed: 1.720000, bearing: 341.400000; fix: True, quality: 1, satellites: 7; time: 11:11.50 28/10/2017; timestamp: 1509203510.148
[DEBUG, 1509189112.352402]: AdafruitGPSMessage(lla: (4026.428222N, 7956.541503W, 293.200000); lla degrees: (40.440471, -79.942359); speed: 1.720000, bearing: 341.400000; fix: True, quality: 1, satellites: 7; time: 11:11.50 28/10/2017; timestamp: 1509203510.148
[log buffer end]
[AdafruitGPS @ node.py:81][DEBUG] 2017-10-28 07:11:52,432: logging message buffer (len=16560)
[AdafruitGPS @ arduino.py:186][INFO] 2017-10-28 07:11:53,966: found 16 packets in 3s (avg=5.3 packets/sec). 76 received in total (avg=4.9 packets/sec)
[AdafruitGPS @ arduino.py:186][INFO] 2017-10-28 07:11:56,969: found 15 packets in 3s (avg=5.0 packets/sec). 91 received in total (avg=4.9 packets/sec)
[AdafruitGPS @ arduino.py:186][INFO] 2017-10-28 07:11:59,988: found 15 packets in 3s (avg=5.0 packets/sec). 106 received in total (avg=4.9 packets/sec)
[AdafruitGPS @ arduino.py:186][INFO] 2017-10-28 07:12:03,004: found 15 packets in 3s (avg=5.0 packets/sec). 121 received in total (avg=4.9 packets/sec)
[AdafruitGPS @ node.py:79][DEBUG] 2017-10-28 07:12:05,234: [log buffer start]
[DEBUG, 1509189112.5821896]: AdafruitGPSMessage(lla: (4026.428222N, 7956.541992W, 293.300000); lla degrees: (40.440471, -79.942367); speed: 1.720000, bearing: 341.400000; fix: True, quality: 1, satellites: 7; time: 11:11.52 28/10/2017; timestamp: 1509203512.0
[DEBUG, 1509189112.7817807]: AdafruitGPSMessage(lla: (4026.428222N, 7956.541992W, 293.300000); lla degrees: (40.440471, -79.942367); speed: 1.720000, bearing: 341.400000; fix: True, quality: 1, satellites: 7; time: 11:11.52 28/10/2017; timestamp: 1509203512.0
[DEBUG, 1509189112.9603925]: AdafruitGPSMessage(lla: (4026.428222N, 7956.541992W, 293.300000); lla degrees: (40.440471, -79.942367); speed: 0.410000, bearing: 246.930000; fix: True, quality: 1, satellites: 7; time: 11:11.52 28/10/2017; timestamp: 1509203512.0
[DEBUG, 1509189113.159485]: AdafruitGPSMessage(lla: (4026.428222N, 7956.541992W, 293.300000); lla degrees: (40.440471, -79.942367); speed: 0.410000, bearing: 246.930000; fix: True, quality: 1, satellites: 7; time: 11:11.52 28/10/2017; timestamp: 1509203512.0
[DEBUG, 1509189113.3586936]: AdafruitGPSMessage(lla: (4026.428222N, 7956.541992W, 293.300000); lla degrees: (40.440471, -79.942367); speed: 0.410000, bearing: 246.930000; fix: True, quality: 1, satellites: 7; time: 11:11.52 28/10/2017; timestamp: 1509203512.0
[DEBUG, 1509189113.5892384]: AdafruitGPSMessage(lla: (4026.428222N, 7956.541992W, 293.300000); lla degrees: (40.440471, -79.942367); speed: 0.410000, bearing: 246.930000; fix: True, quality: 1, satellites: 7; time: 11:11.53 28/10/2017; timestamp: 1509203513.0
[DEBUG, 1509189113.757477]: AdafruitGPSMessage(lla: (4026.428222N, 7956.541992W, 293.300000); lla degrees: (40.440471, -79.942367); speed: 0.200000, bearing: 231.000000; fix: True, quality: 1, satellites: 7; time: 11:11.53 28/10/2017; timestamp: 1509203513.0
[DEBUG, 1509189113.9658062]: AdafruitGPSMessage(lla: (4026.428222N, 7956.541992W, 293.300000); lla degrees: (40.440471, -79.942367); speed: 0.200000, bearing: 231.000000; fix: True, quality: 1, satellites: 7; time: 11:11.53 28/10/2017; timestamp: 1509203513.0
[DEBUG, 1509189114.1650562]: AdafruitGPSMessage(lla: (4026.428222N, 7956.541992W, 293.300000); lla degrees: (40.440471, -79.942367); speed: 0.200000, bearing: 231.000000; fix: True, quality: 1, satellites: 7; time: 11:11.53 28/10/2017; timestamp: 1509203513.0
[DEBUG, 1509189114.3637393]: AdafruitGPSMessage(lla: (4026.428222N, 7956.541992W, 293.300000); lla degrees: (40.440471, -79.942367); speed: 0.200000, bearing: 231.000000; fix: True, quality: 1, satellites: 7; time: 11:11.53 28/10/2017; timestamp: 1509203513.0
[DEBUG, 1509189114.594422]: AdafruitGPSMessage(lla: (4026.428222N, 7956.541992W, 293.300000); lla degrees: (40.440471, -79.942367); speed: 0.200000, bearing: 231.000000; fix: True, quality: 1, satellites: 7; time: 11:11.54 28/10/2017; timestamp: 1509203514.0
[DEBUG, 1509189114.7632701]: AdafruitGPSMessage(lla: (4026.428222N, 7956.541992W, 293.300000); lla degrees: (40.440471, -79.942367); speed: 0.350000, bearing: 181.740000; fix: True, quality: 1, satellites: 7; time: 11:11.54 28/10/2017; timestamp: 1509203514.0
[DEBUG, 1509189114.9616733]: AdafruitGPSMessage(lla: (4026.428222N, 7956.541992W, 293.300000); lla degrees: (40.440471, -79.942367); speed: 0.350000, bearing: 181.740000; fix: True, quality: 1, satellites: 7; time: 11:11.54 28/10/2017; timestamp: 1509203514.0
[DEBUG, 1509189115.1712666]: AdafruitGPSMessage(lla: (4026.428222N, 7956.541992W, 293.300000); lla degrees: (40.440471, -79.942367); speed: 0.350000, bearing: 181.740000; fix: True, quality: 1, satellites: 7; time: 11:11.54 28/10/2017; timestamp: 1509203514.0
[DEBUG, 1509189115.3700047]: AdafruitGPSMessage(lla: (4026.428222N, 7956.541992W, 293.300000); lla degrees: (40.440471, -79.942367); speed: 0.350000, bearing: 181.740000; fix: True, quality: 1, satellites: 7; time: 11:11.54 28/10/2017; timestamp: 1509203514.0
