[OpenCVCamera @ factory.py:85][DEBUG] 2017-10-28 07:00:06,215: Logging to: logs/2017_Oct_28/OpenCVCamera/07_00_06.log
[OpenCVCamera @ camera.py:123][INFO] 2017-10-28 07:00:12,316: Loading capture '1'
[OpenCVCamera @ node.py:71][INFO] 2017-10-28 07:00:13,297: received 1 messages in 3 seconds. 1 received in total (avg=0.1 messages/sec)
[OpenCVCamera @ node.py:71][INFO] 2017-10-28 07:00:16,344: received 46 messages in 3 seconds. 47 received in total (avg=4.6 messages/sec)
[OpenCVCamera @ node.py:71][INFO] 2017-10-28 07:00:19,407: received 46 messages in 3 seconds. 93 received in total (avg=7.0 messages/sec)
[OpenCVCamera @ node.py:71][INFO] 2017-10-28 07:00:22,470: received 46 messages in 3 seconds. 139 received in total (avg=8.6 messages/sec)
[OpenCVCamera @ node.py:71][INFO] 2017-10-28 07:00:25,524: received 46 messages in 3 seconds. 185 received in total (avg=9.6 messages/sec)
[OpenCVCamera @ node.py:71][INFO] 2017-10-28 07:00:28,585: received 46 messages in 3 seconds. 231 received in total (avg=10.3 messages/sec)
[OpenCVCamera @ node.py:79][DEBUG] 2017-10-28 07:00:28,780: [log buffer start]
[DEBUG, 1509188413.296366]: ImageMessage(t=1509188413.2962966, n=0)
[DEBUG, 1509188413.3509042]: ImageMessage(t=1509188413.3508947, n=1)
[DEBUG, 1509188413.4221394]: ImageMessage(t=1509188413.4221277, n=2)
[DEBUG, 1509188413.485817]: ImageMessage(t=1509188413.4858062, n=3)
[DEBUG, 1509188413.546479]: ImageMessage(t=1509188413.5464685, n=4)
[DEBUG, 1509188413.6134238]: ImageMessage(t=1509188413.613414, n=5)
[DEBUG, 1509188413.681721]: ImageMessage(t=1509188413.6817124, n=6)
[DEBUG, 1509188413.750305]: ImageMessage(t=1509188413.7502954, n=7)
[DEBUG, 1509188413.8183844]: ImageMessage(t=1509188413.8183742, n=8)
[DEBUG, 1509188413.882636]: ImageMessage(t=1509188413.8826249, n=9)
[DEBUG, 1509188413.950416]: ImageMessage(t=1509188413.9504063, n=10)
[DEBUG, 1509188414.0176737]: ImageMessage(t=1509188414.017664, n=11)
[DEBUG, 1509188414.082083]: ImageMessage(t=1509188414.0820744, n=12)
[DEBUG, 1509188414.1501694]: ImageMessage(t=1509188414.1501594, n=13)
[DEBUG, 1509188414.2145512]: ImageMessage(t=1509188414.2145417, n=14)
[DEBUG, 1509188414.2826138]: ImageMessage(t=1509188414.2826037, n=15)
[DEBUG, 1509188414.3501472]: ImageMessage(t=1509188414.3501365, n=16)
[DEBUG, 1509188414.4144557]: ImageMessage(t=1509188414.4144452, n=17)
[DEBUG, 1509188414.4815452]: ImageMessage(t=1509188414.4815366, n=18)
[DEBUG, 1509188414.5499008]: ImageMessage(t=1509188414.549892, n=19)
[DEBUG, 1509188414.6143453]: ImageMessage(t=1509188414.6143355, n=20)
[DEBUG, 1509188414.6822755]: ImageMessage(t=1509188414.6822646, n=21)
[DEBUG, 1509188414.7499197]: ImageMessage(t=1509188414.7499092, n=22)
[DEBUG, 1509188414.8135557]: ImageMessage(t=1509188414.8135476, n=23)
[DEBUG, 1509188414.882164]: ImageMessage(t=1509188414.8821545, n=24)
[DEBUG, 1509188414.9462092]: ImageMessage(t=1509188414.9461997, n=25)
[DEBUG, 1509188415.0141003]: ImageMessage(t=1509188415.0140905, n=26)
[DEBUG, 1509188415.08187]: ImageMessage(t=1509188415.0818594, n=27)
[DEBUG, 1509188415.2275217]: ImageMessage(t=1509188415.2275162, n=28)
[DEBUG, 1509188415.2343018]: ImageMessage(t=1509188415.234297, n=29)
[DEBUG, 1509188415.27844]: ImageMessage(t=1509188415.2784312, n=30)
[DEBUG, 1509188415.3484993]: ImageMessage(t=1509188415.3484867, n=31)
[DEBUG, 1509188415.4171093]: ImageMessage(t=1509188415.417099, n=32)
[DEBUG, 1509188415.4821246]: ImageMessage(t=1509188415.4821153, n=33)
[DEBUG, 1509188415.5482793]: ImageMessage(t=1509188415.5482697, n=34)
[DEBUG, 1509188415.615821]: ImageMessage(t=1509188415.6158106, n=35)
[DEBUG, 1509188415.6791918]: ImageMessage(t=1509188415.6791828, n=36)
[DEBUG, 1509188415.7447202]: ImageMessage(t=1509188415.7447085, n=37)
[DEBUG, 1509188415.812161]: ImageMessage(t=1509188415.8121514, n=38)
[DEBUG, 1509188415.8803]: ImageMessage(t=1509188415.8802884, n=39)
[DEBUG, 1509188415.9470997]: ImageMessage(t=1509188415.9470901, n=40)
[DEBUG, 1509188416.01572]: ImageMessage(t=1509188416.01571, n=41)
[DEBUG, 1509188416.0790029]: ImageMessage(t=1509188416.078994, n=42)
[DEBUG, 1509188416.1443784]: ImageMessage(t=1509188416.1443682, n=43)
[DEBUG, 1509188416.2164083]: ImageMessage(t=1509188416.2163973, n=44)
[DEBUG, 1509188416.2798777]: ImageMessage(t=1509188416.279868, n=45)
[DEBUG, 1509188416.3447337]: ImageMessage(t=1509188416.3447218, n=46)
[DEBUG, 1509188416.4127033]: ImageMessage(t=1509188416.4126925, n=47)
[DEBUG, 1509188416.4759705]: ImageMessage(t=1509188416.475961, n=48)
[DEBUG, 1509188416.5439487]: ImageMessage(t=1509188416.5439372, n=49)
[DEBUG, 1509188416.6084273]: ImageMessage(t=1509188416.6084151, n=50)
[DEBUG, 1509188416.6762393]: ImageMessage(t=1509188416.6762273, n=51)
[DEBUG, 1509188416.7437167]: ImageMessage(t=1509188416.7437065, n=52)
[DEBUG, 1509188416.8124123]: ImageMessage(t=1509188416.812401, n=53)
[DEBUG, 1509188416.8810468]: ImageMessage(t=1509188416.8809755, n=54)
[DEBUG, 1509188416.9475164]: ImageMessage(t=1509188416.947507, n=55)
[DEBUG, 1509188417.008516]: ImageMessage(t=1509188417.0085037, n=56)
[DEBUG, 1509188417.075617]: ImageMessage(t=1509188417.0756078, n=57)
[DEBUG, 1509188417.1437201]: ImageMessage(t=1509188417.1437097, n=58)
[DEBUG, 1509188417.2081823]: ImageMessage(t=1509188417.2081711, n=59)
[DEBUG, 1509188417.275958]: ImageMessage(t=1509188417.2759473, n=60)
[DEBUG, 1509188417.3401268]: ImageMessage(t=1509188417.340116, n=61)
[DEBUG, 1509188417.4075918]: ImageMessage(t=1509188417.4075828, n=62)
[DEBUG, 1509188417.4758196]: ImageMessage(t=1509188417.4758089, n=63)
[DEBUG, 1509188417.5400515]: ImageMessage(t=1509188417.5400407, n=64)
[DEBUG, 1509188417.608055]: ImageMessage(t=1509188417.6080444, n=65)
[DEBUG, 1509188417.6754923]: ImageMessage(t=1509188417.675482, n=66)
[DEBUG, 1509188417.7393203]: ImageMessage(t=1509188417.7393095, n=67)
