[OpenCVRecorder @ factory.py:85][DEBUG] 2017-10-28 06:51:48,556: Logging to: logs/2017_Oct_28/OpenCVRecorder/06_51_48.log
[OpenCVRecorder @ recorder.py:46][INFO] 2017-10-28 06:51:48,556: Initialized video recorder. Path set to: videos/2017_Oct_28/BabyBuggy/06_51_48.avi
[OpenCVRecorder @ node.py:71][INFO] 2017-10-28 06:51:56,185: received 0 messages in 3 seconds. 0 received in total (avg=0.0 messages/sec)
[OpenCVRecorder @ node.py:71][INFO] 2017-10-28 06:51:59,361: received 25 messages in 3 seconds. 25 received in total (avg=2.3 messages/sec)
[OpenCVRecorder @ recorder.py:101][INFO] 2017-10-28 06:51:59,361: dumping frame buffer. Size: 25
[OpenCVRecorder @ recorder.py:109][INFO] 2017-10-28 06:51:59,362: Writing to 'videos/2017_Oct_28/BabyBuggy/06_51_48.avi'. width = 640, height = 480, fps = 9.267361496526004
[OpenCVRecorder @ recorder.py:114][INFO] 2017-10-28 06:51:59,363: Writing 25 frames
[OpenCVRecorder @ recorder.py:96][DEBUG] 2017-10-28 06:51:59,468: Dumping buffer. 25 frames reached
[OpenCVRecorder @ node.py:71][INFO] 2017-10-28 06:52:02,487: received 57 messages in 3 seconds. 82 received in total (avg=5.9 messages/sec)
[OpenCVRecorder @ node.py:71][INFO] 2017-10-28 06:52:05,489: received 46 messages in 3 seconds. 128 received in total (avg=7.6 messages/sec)
[OpenCVRecorder @ node.py:71][INFO] 2017-10-28 06:52:08,490: received 46 messages in 3 seconds. 174 received in total (avg=8.7 messages/sec)
[OpenCVRecorder @ node.py:79][DEBUG] 2017-10-28 06:52:10,946: [log buffer start]
[DEBUG, 1509187916.185711]: Recording frame #0. Delay: 0.0013420581817626953
[DEBUG, 1509187916.5380354]: Recording frame #1. Delay: 0.2486586570739746
[DEBUG, 1509187916.5381482]: Recording frame #2. Delay: 0.12484979629516602
[DEBUG, 1509187916.538221]: Recording frame #3. Delay: 0.0007154941558837891
[DEBUG, 1509187916.9146202]: Recording frame #4. Delay: 0.25334954261779785
[DEBUG, 1509187916.9147305]: Recording frame #5. Delay: 0.12549567222595215
[DEBUG, 1509187916.9148057]: Recording frame #6. Delay: 0.0017075538635253906
[DEBUG, 1509187917.2859526]: Recording frame #7. Delay: 0.24878311157226562
[DEBUG, 1509187917.2860644]: Recording frame #8. Delay: 0.12519073486328125
[DEBUG, 1509187917.28614]: Recording frame #9. Delay: 0.001157999038696289
[DEBUG, 1509187917.6677976]: Recording frame #10. Delay: 0.25115346908569336
[DEBUG, 1509187917.6679876]: Recording frame #11. Delay: 0.12875843048095703
[DEBUG, 1509187917.6680753]: Recording frame #12. Delay: 0.002573728561401367
[DEBUG, 1509187918.037796]: Recording frame #13. Delay: 0.24908804893493652
[DEBUG, 1509187918.037895]: Recording frame #14. Delay: 0.12610244750976562
[DEBUG, 1509187918.0380108]: Recording frame #15. Delay: 0.0022284984588623047
[DEBUG, 1509187918.4096131]: Recording frame #16. Delay: 0.24585962295532227
[DEBUG, 1509187918.4097857]: Recording frame #17. Delay: 0.12238669395446777
[DEBUG, 1509187918.4098647]: Recording frame #18. Delay: 0.0009946823120117188
[DEBUG, 1509187918.781289]: Recording frame #19. Delay: 0.2508831024169922
[DEBUG, 1509187918.7814002]: Recording frame #20. Delay: 0.12595200538635254
[DEBUG, 1509187918.781474]: Recording frame #21. Delay: 0.0018439292907714844
[DEBUG, 1509187919.1554537]: Recording frame #22. Delay: 0.25197672843933105
[DEBUG, 1509187919.1555657]: Recording frame #23. Delay: 0.1285400390625
[DEBUG, 1509187919.1556437]: Recording frame #24. Delay: 0.0007038116455078125
[DEBUG, 1509187919.3613577]: Recording frame #25. Delay: 0.08692479133605957
[DEBUG, 1509187919.4687452]: Recording frame #26. Delay: 0.1503598690032959
[DEBUG, 1509187919.4728808]: Recording frame #27. Delay: 0.11429667472839355
[DEBUG, 1509187919.6503196]: Recording frame #28. Delay: 0.16778159141540527
[DEBUG, 1509187919.6631396]: Recording frame #29. Delay: 0.17506122589111328
[DEBUG, 1509187919.6722739]: Recording frame #30. Delay: 0.17850112915039062
[DEBUG, 1509187919.678267]: Recording frame #31. Delay: 0.15482068061828613
[DEBUG, 1509187919.6845567]: Recording frame #32. Delay: 0.11864161491394043
[DEBUG, 1509187919.691577]: Recording frame #33. Delay: 0.08179569244384766
